service_request_id,requested_datetime,closed_date,updated_datetime,status_description,status_notes,agency_responsible,service_name,service_subtype,service_details,address,street,supervisor_district,neighborhoods_sffind_boundaries,analysis_neighborhood,police_district,lat,long,point,point_geom,source,data_as_of,data_loaded_at
101001243928,2025-01-01T00:00:36.000,2025-01-01T10:26:42.000,2025-01-01T10:26:51.000,Closed,Case Resolved,Recology - Overflowing,Street and Sidewalk Cleaning,garbage_and_debris,city_garbage_can_overflowing,"2202 GREENWICH ST, SAN FRANCISCO, CA 94123",GREENWICH ST,2.0,UNION STREET,Marina,NORTHERN,37.7989126,-122.4359842,"{'latitude': '37.7989126', 'longitude': '-122.4359842', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-122.4359842, 37.7989126]}",Mobile,2025-01-11T06:00:00.000,2025-01-12T08:58:27.000
101001243930,2025-01-01T00:01:08.000,2025-01-01T09:46:32.000,2025-01-01T09:46:42.000,Closed,Case Resolved,Recology - Overflowing,Street and Sidewalk Cleaning,garbage_and_debris,city_garbage_can_overflowing,"2303 MARKET ST, SAN FRANCISCO, CA 94114",MARKET ST,8.0,CASTRO,Castro/Upper Market,MISSION,37.763931498092944,-122.43319536218104,"{'latitude': '37.763931498092944', 'longitude': '-122.43319536218104', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-122.433195362, 37.763931498]}",Mobile,2025-01-11T06:00:00.000,2025-01-12T08:58:27.000
101001243932,2025-01-01T00:05:36.000,2025-01-01T10:26:46.000,2025-01-01T10:26:53.000,Closed,Case Resolved,Recology - Overflowing,Street and Sidewalk Cleaning,garbage_and_debris,city_garbage_can_overflowing,"311 MARKET ST, SAN FRANCISCO, CA 94105",MARKET ST,6.0,FINANCIAL DISTRICT,Financial District/South Beach,CENTRAL,37.79220657089487,-122.3975187832069,"{'latitude': '37.79220657089487', 'longitude': '-122.3975187832069', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-122.397518783, 37.792206571]}",Mobile,2025-01-11T06:00:00.000,2025-01-12T08:58:27.000
101001243933,2025-01-01T00:08:03.000,2025-01-01T08:51:16.000,2025-01-01T08:51:23.000,Closed,Case Resolved,Recology - Overflowing,Street and Sidewalk Cleaning,garbage_and_debris,city_garbage_can_overflowing,"498 24TH AVE, SAN FRANCISCO, CA 94121",24TH AVE,1.0,OUTER RICHMOND,Outer Richmond,RICHMOND,37.780269873363686,-122.48354790743672,"{'latitude': '37.780269873363686', 'longitude': '-122.48354790743672', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-122.483547907, 37.780269873]}",Mobile,2025-01-11T06:00:00.000,2025-01-12T08:58:27.000
101001243935,2025-01-01T00:08:49.000,2025-01-01T10:26:50.000,2025-01-01T10:26:56.000,Closed,Case Resolved,Recology - Overflowing,Street and Sidewalk Cleaning,garbage_and_debris,city_garbage_can_overflowing,"2301 HYDE ST, SAN FRANCISCO, CA 94109",HYDE ST,2.0,RUSSIAN HILL,Russian Hill,CENTRAL,37.80206323892925,-122.41975693040368,"{'latitude': '37.80206323892925', 'longitude': '-122.41975693040368', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-122.41975693, 37.802063239]}",Mobile,2025-01-11T06:00:00.000,2025-01-12T08:58:27.000
101001243937,2025-01-01T00:09:50.000,2025-01-01T05:13:27.000,2025-01-01T05:13:29.000,Closed,Case Resolved - Officer responded to request under CAD # 250010056. Unable to Locate.,MTA - Parking Enforcement Dispatch,Parking Enforcement,blocking_driveway_cite_tow,,"1356 KEARNY ST, SAN FRANCISCO, CA 94133",KEARNY ST,3.0,TELEGRAPH HILL,North Beach,CENTRAL,37.80056012427502,-122.40594362800681,"{'latitude': '37.80056012427502', 'longitude': '-122.40594362800681', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-122.405943628, 37.800560124]}",Mobile,2025-01-11T06:00:00.000,2025-01-12T08:58:27.000
101001243938,2025-01-01T00:10:13.000,2025-01-01T10:26:53.000,2025-01-01T10:27:01.000,Closed,Case Resolved,Recology - Overflowing,Street and Sidewalk Cleaning,garbage_and_debris,city_garbage_can_overflowing,"1906 UNION ST, SAN FRANCISCO, CA 94123",UNION ST,2.0,UNION STREET,Marina,NORTHERN,37.79775888794438,-122.43083747114954,"{'latitude': '37.79775888794438', 'longitude': '-122.43083747114954', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-122.430837471, 37.797758888]}",Mobile,2025-01-11T06:00:00.000,2025-01-12T08:58:27.000
101001243940,2025-01-01T00:13:39.000,2025-01-01T05:01:35.000,2025-01-01T05:01:39.000,Closed,Case Resolved - Officer responded to request under CAD # 250010077. Unable to Locate.,MTA - Parking Enforcement Dispatch,Parking Enforcement,blocking_driveway_cite_tow,,"369 GREEN ST, SAN FRANCISCO, CA 94133",GREEN ST,3.0,Telegraph Hill,North Beach,CENTRAL,37.79983134,-122.40538505,"{'latitude': '37.79983134', 'longitude': '-122.40538505', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-122.40538505, 37.79983134]}",Phone,2025-01-11T06:00:00.000,2025-01-12T08:58:27.000
101001243942,2025-01-01T00:13:45.000,2025-01-01T13:10:37.000,2025-01-01T13:10:43.000,Closed,Case Resolved,Recology - Overflowing,Street and Sidewalk Cleaning,garbage_and_debris,city_garbage_can_overflowing,"1998 HAYES ST, SAN FRANCISCO, CA 94117",HAYES ST,5.0,PANHANDLE,Lone Mountain/USF,PARK,37.773596184972774,-122.4491201621695,"{'latitude': '37.773596184972774', 'longitude': '-122.4491201621695', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-122.449120162, 37.773596185]}",Mobile,2025-01-11T06:00:00.000,2025-01-12T08:58:27.000
101001243943,2025-01-01T00:13:56.000,2025-01-02T08:31:04.000,2025-01-02T08:31:04.000,Closed,Case is a Duplicate - REFERRED TO PGE CONSTRUCTION DEPT ON EC TAG# 129571881,PGE - Streetlights,Streetlights,light,light_burnt_out,"286 11TH AVE, SAN FRANCISCO, CA 94118",11TH AVE,1.0,INNER RICHMOND,Inner Richmond,RICHMOND,37.78301830049165,-122.46965155005455,"{'latitude': '37.78301830049165', 'longitude': '-122.46965155005455', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-122.46965155, 37.7830183]}",Mobile,2025-01-12T06:00:00.000,2025-01-13T09:07:44.000
